Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Deepti Vaidyula ,  @Harika Guntamukkala",,
Metadata,Release Info,Release date,2025.07.11,,
Metadata,Release Info,DB changes,Connect : No changes,,
Metadata,Release Info,Platform,No changes,,
Metadata,Release Info,Notification, release/2025.07.11,,
Metadata,Release Info,Branch,hotfix/2025.07.11,,
Artefacts,Artefacts,Chip1 Transaction,2025.07.11.2,,
Artefacts,Artefacts,Chip1 WebUI,2025.07.11.1,,
Artefacts,Artefacts,Chip1 CRM WebUI,2025.07.11.1,,
Deployed Items,Private ( https,"//app.clickup.com/t/8651091/CHP-2431
)
//app.clickup.com/t/8651091/CHP-2456
)
## WHY DO WE NEED THIS HOTFIX?",,,
Deployed Items,Private ( https,"To deploy Concierge and Chip1 inventory. These are new independent features.
## MC1 SANITY TESTS",,,
Deployed Items,Private ( https,Feature/Flow,,,
Deployed Items,Private ( https,Stage,,,
Deployed Items,Private ( https,Prod,,,
Deployed Items,Private ( https,Remarks,,,
Deployed Items,Private ( https,New User Signup from mc1,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,NA,,,
Deployed Items,Private ( https,Mc1 user invite - signup,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,NA,,,
Deployed Items,Private ( https,On stage should suffice,,,
Deployed Items,Private ( https,Upload Bom & Excess and verify in CRM,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Manual RFQ,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,"Active Quote (create, edit)",,,
Deployed Items,Private ( https,"Yes
yes",,,
Deployed Items,Private ( https,"Sales Order
(create, edit)",,,
Deployed Items,Private ( https,"Yes
yes",,,
Deployed Items,Private ( https,Lead Account & Transfer,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,NA,,,
Deployed Items,Private ( https,Bids,,,
Deployed Items,Private ( https,NA,,,
Deployed Items,Private ( https,NA,,,
Deployed Items,Private ( https,Parts Tracker,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Search,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Page Navigations,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Edit Project,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Notification Emails,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Not on test account. Mc1userID issue.,,,
Deployed Items,Private ( https,"Download excess and Bom Template, fill and upload.",,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,## CRM SANITY TESTS,Feature/Flow,,,
Deployed Items,## CRM SANITY TESTS,Stage,,,
Deployed Items,## CRM SANITY TESTS,Production,,,
Deployed Items,## CRM SANITY TESTS,Remarks,,,
Deployed Items,## CRM SANITY TESTS,"Create BOM in MC1, check in xcrm and new crm",,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,"Create RFQ in MC1, check in xcrm and crm",,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Upload BOM from CRM,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Page Navigations,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,"Deep links for Accounts, RFQs, Quotes and Orders",,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Edit Project,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Global Search,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Filters,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Sorting of tables,,,
Deployed Items,## CRM SANITY TESTS,Few,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Page Search,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,Yes,,,
Deployed Items,## CRM SANITY TESTS,"Download excess and Bom Template, fill and upload.",,,
Deployed Items,## CRM SANITY TESTS,Not yet deployed to crm,,,
Deployed Items,## CRM SANITY TESTS,"NA
## ISSUE FOUND ON PRODUCTION:
//app.clickup.com/t/8651091/CHP-2500
) - Normal Priority - Root cause: Lookup value is wrong, we should change it to CRM and UI code should change to
origin.value == ""newCRM""",,,
