Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,@Harika Guntamukkala,,
Metadata,Release Info,Release date,2025.07.02,,
Metadata,Release Info,DB changes,Connect : No change,,
Metadata,Release Info,Platform,No change,,
Metadata,Release Info,Key Clock,No change,,
Metadata,Release Info,Branch,hotfix/2025.07.02,,
Artefacts,Artefacts,Private ( https,"//app.clickup.com/t/8651091/CHP-2429 ) ## TESTING NOTES Downloaded BOM template in different accounts and opened the file ## MC1 SMOKE TESTS Feature/Flow Stage Prod Remarks New User Signup from mc1 NA NA Mc1 user invite - signup Yes NA On stage should suffice Upload Bom & Excess and verify in xCRM Yes Yes Manual RFQ Yes Yes Active Quote (create, edit) Yes Yes Sales Order (create, edit) NA NA Lead Account & Transfer NA NA Bids NA NA Parts Tracker NA NA Search Yes Yes Page Navigations Yes Yes Edit Project Yes Yes Notification Emails NA received for Active Quote",,
