Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,@Deepti Vaidyula,,
Metadata,Release Info,Release date,2025.10.15,,
Metadata,Release Info,DB changes,Connect : No changes,,
Metadata,Release Info,Platform,No changes,,
Metadata,Release Info,Notification, No changes Branch,,
Metadata,Release Info,Chip1-transaction,hotfix/2025.10.15,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh,,
Deployed Items,Private ( https,"//app.clickup.com/t/8651091/CHP-3308
)
## MC1 SANITY TESTS",,,
Deployed Items,Private ( https,Basic Sanity looks good,,,
Deployed Items,Private ( https,"Able to create requirements, active quotes, part tracker, upload bom, excess. Page navigations on mc1 are fine.",,,
Deployed Items,Private ( https,I could test till SO creation on xcrm. The created SO is however not visible on the mc1 but there are also no errors in the grafana logs. This is expected as we are doing sanity only on mc1.,,,
Deployed Items,Private ( https,"Grafana charts look okay.
## CRM SANITY TESTS
the live threads is 120 max. Looks good.",,,
Deployed Items,## TESTING NOTES,Able to,,,
Deployed Items,14 Oct 2025,US25RQ14871 - US25QU04325 - US25SO01186,,,
Deployed Items,15 Oct 2025,"US25RQ14999
 US25QU04361 - US25SO01194
## ISSUES FOUND ON PROD
//app.clickup.com/t/8651091/CHP-3312
)
createdOn is in mysql but missing in mongoDb.",,,
